chrom	start	end	num	list	genes	prop	max_ihs	prop_xpehh_no	max_xpehh_no	prop_xpnsl_no	max_xpnsl_no	prop_xpehh_so	max_xpehh_so	prop_xpnsl_so	max_xpnsl_so	n_snp
BLFC01000154	250001	300001	4	2345	PERC_DROME; PXDN_XENTR; PXDN_XENTR; PXDN_HUMAN; adig_s0150.g22	0.1	3.62512	0.18967229394240318	6.68101	0.21648460774577954	7.17354	0.19960278053624628	6.94365	0.22641509433962265	6.93609	1007
BLFC01000600	3700001	3800001	4	2345	FRIS_LYMST; PEX19_RAT; PHS2_HUMAN; adig_s0005.g348; adig_s0005.g349; PGBM_MOUSE; FRIS_LYMST; adig_s0005.g347; LRC58_XENLA; GABR2_RAT; CAD96_DROME; RET_HUMAN	0.08508845829823083	4.32864	0.4335064935064935	6.4804	0.6379220779220779	7.80473	0.3625974025974026	5.96789	0.5355844155844156	6.59411	3850
BLFC01000326	1900001	1950001	4	2345	adig_s0038.g103; adig_s0038.g104; OIT3_HUMAN	NA	-Inf	0.9607686148919136	6.15608	0.41953562850280224	4.6664	0.977582065652522	7.35549	0.5028022417934348	4.7283	1249
BLFC01000928	550001	600001	4	2345	adig_s0079.g41; adig_s0079.g42; adig_s0079.g43; adig_s0079.g44; WDR35_RAT	NA	-Inf	0.8173258003766478	6.52326	0.4256120527306968	4.7903	0.8587570621468926	7.01416	0.423728813559322	4.35776	531
BLFC01000277	200001	250001	3	145	RIT1_HUMAN; CC038_HUMAN; PCSK5_BRACL; SFR1_HUMAN; PCSK6_RAT; IDH3A_DROME	0.6277372262773723	4.56567	0	4.15564	0.013789299503585218	3.55053	0.28792057363485934	5.09258	0.12355212355212356	4.02996	1813
BLFC01000277	150001	200001	3	124	adig_s0082.g15; adig_s0082.g16; RIT1_HUMAN; UBA6_MOUSE	0.5384615384615384	5.48918	0.1819941916747338	4.88287	0.027105517909002903	3.95713	0.29283639883833495	5.14997	0.05663117134559535	3.84045	2066
BLFC01000718	1250001	1300001	3	124	KCMA1_XENLA	0.46825396825396826	3.79148	0.2617994100294985	5.04298	0.084070796460177	3.93092	0.13053097345132744	4.64493	0.07448377581120944	3.73994	1356
BLFC01000770	2800001	2850001	3	145	adig_s0003.g179; adig_s0003.g177; adig_s0003.g178; adig_s0003.g180; adig_s0003.g181	0.46746203904555317	4.47019	0.014176663031624863	4.71124	0.09196655761541257	4.3517	0.3460559796437659	5.18058	0.23482370047255544	5.42413	2751
BLFC01000298	300001	350001	3	124	PRS23_MOUSE; KI16B_HUMAN; KI16B_HUMAN	0.4530456852791878	4.47981	0.11445279866332497	5.2852	0.03926482873851295	4.58846	0.11152882205513784	4.90463	0.0898078529657477	4.6568	2394
BLFC01000008	2050001	2100001	3	345	BARH1_HUMAN; adig_s0073.g156; PLSL_DANRE; CPP1_ACRMI; DLX4A_DANRE; GOGA4_MOUSE	0.3338391502276176	4.21833	0.021965952773201538	4.49901	0.25096101043382757	5.56982	0.14662273476112025	5.35867	0.3404722679846238	5.73057	1821
BLFC01000298	250001	300001	3	245	adig_s0120.g22; AP4S_ARATH; adig_s0120.g25; PRS23_MOUSE; adig_s0120.g24	0.3074866310160428	4.37802	0.3306878306878307	6.22638	0.09523809523809523	5.11484	0.5006613756613757	6.64471	0.25	5.11381	1512
BLFC01000439	1750001	1800001	3	245	R3HD4_BOVIN; METK1_MOUSE; CHST3_TETCF; RBCC1_MOUSE; NALCN_HUMAN	0.25	3.36439	0.1334141904184354	6.05877	0.11461491813220133	5.24824	0.17404487568223165	6.01417	0.13583990297149787	4.93301	1649
BLFC01000770	2850001	2900001	3	345	adig_s0003.g182; FD2_DROME; adig_s0003.g181; DALD3_DANRE; AASS_BOVIN	0.21837549933422104	4.00873	0.044851258581235696	4.59974	0.1565217391304348	4.72524	0.10983981693363844	4.96974	0.28421052631578947	5.02383	2185
BLFC01000123	850001	900001	3	235	QCR7_FASHE; RAB38_MOUSE; GDF5_HUMAN; adig_s0039.g83	0.2032967032967033	3.4728	0.16273100616016428	4.8055	0.3655030800821355	5.07809	0.02104722792607803	4.47083	0.17453798767967146	3.70049	1948
BLFC01000706	1000001	1050001	3	245	FCN2_HUMAN; FCN2_HUMAN	0.1597222222222222	4.57633	0.4549689440993789	6.53981	0.07608695652173914	4.49736	0.35248447204968947	5.41108	0.11956521739130435	4.326	644
BLFC01000706	450001	500001	3	234	no genes in this region	0.15384615384615385	2.67209	0.782608695652174	7.71103	0.5597826086956522	4.83545	0.6847826086956522	6.13269	0.07065217391304347	3.63564	184
BLFC01000413	350001	400001	3	234	PSID_PSICU; PIGQ_MOUSE; CGL_HUMAN; PSID_PSICY; CGL_MACFA	0.13066666666666665	3.73989	0.18205128205128204	6.06928	0.19914529914529913	4.42003	0.15982905982905982	5.57186	0.10341880341880341	4.33807	1170
BLFC01000773	2100001	2250001	3	234	ANPRB_MOUSE; ANPRA_MOUSE; GCY_STRPU; GC76C_DROME; GCY_STRPU	0.0825503355704698	5.01629	0.5841417910447761	7.74925	0.19906716417910447	5.34121	0.292910447761194	5.28243	0.07444029850746268	4.2047	5360
BLFC01000326	1850001	1900001	3	245	QOR_HUMAN; adig_s0038.g102; adig_s0038.g101; adig_s0038.g103	NA	-Inf	0.5318032786885246	5.96464	0.058360655737704915	3.81464	0.9193442622950819	6.73927	0.12327868852459016	4.01025	1525
BLFC01000407	1900001	1950001	3	245	adig_s0145.g117; P52K_HUMAN; TIE1_DANRE	NA	-Inf	0.51985559566787	5.36192	0.11913357400722022	3.92139	0.776173285198556	5.00727	0.1299638989169675	3.91781	277
BLFC01000326	1600001	1650001	2	15	adig_s0038.g84; adig_s0038.g86; adig_s0038.g83; adig_s0038.g85; adig_s0038.g87	0.9545454545454546	4.49332	0	2.30817	0	2.85644	0	3.6155	0.42201834862385323	3.80213	109
BLFC01000074	200001	250001	2	12	adig_s0057.g17; adig_s0057.g15; NAGK_MOUSE	0.5421052631578948	4.39793	0.10220440881763528	4.84836	0.011022044088176353	3.58673	0	3.86807	0	2.41986	998
BLFC01000522	350001	400001	2	35	OIT3_RAT; adig_s0035.g28; CQ098_HUMAN; PGCA_BOVIN; GLI1_CHICK	0.3888888888888889	3.66862	0.06369426751592357	4.99085	0.1470758540822235	4.67814	0.04226983207874928	4.39233	0.1557614360162131	4.43537	1727
BLFC01000690	3200001	3250001	2	13	RABX5_MOUSE; adig_s0030.g253; adig_s0030.g254; adig_s0030.g255; adig_s0030.g256; adig_s0030.g257	0.375	3.917	0.038461538461538464	4.73055	0.1596153846153846	4.20545	0.04423076923076923	4.63081	0.046153846153846156	3.64356	520
BLFC01000375	1150001	1200001	2	12	adig_s0052.g72; SKAP2_TAKRU; adig_s0052.g70; ANO4_MOUSE; ANO5_HUMAN	0.3361884368308351	3.81487	0.2164102564102564	5.85811	0.07230769230769231	4.50124	0.007692307692307693	4.20341	0.012307692307692308	3.63441	1950
BLFC01000298	200001	250001	2	24	MTNN_DESPS; HSP12_CAEEL; HSP12_CAEEL; HSP12_CAEEL; HSP12_CAEEL; GCP60_HUMAN; adig_s0120.g20; TREA_APIME; adig_s0120.g21	0.2903981264637002	5.05856	0.3762246897452645	5.64204	0.07576747224036577	4.28281	0.5858915741345526	5.33244	0.09144350097975179	3.87121	1531
BLFC01000732	1950001	2000001	2	35	adig_s0032.g130; C27C1_HUMAN; TM241_XENLA; adig_s0032.g131	0.24937027707808565	3.12729	0.04809286898839138	4.82588	0.12271973466003316	3.91408	0.07545605306799337	4.36153	0.11774461028192372	4.37031	1206
BLFC01000039	150001	200001	2	35	adig_s0146.g11; GFPL_ANEMA; adig_s0146.g12; GFPL_ANEMA; GFPL_ANEMA; LRBA_MOUSE	0.2463768115942029	2.92748	0.10046367851622875	7.5377	0.17001545595054096	5.36282	0.0633693972179289	7.06926	0.11746522411128284	4.83871	647
BLFC01000816	400001	450001	2	35	CFA47_HUMAN; GDAP2_NEMVE; CFA47_HUMAN; CFA47_HUMAN	0.17060367454068243	4.78043	0.06837606837606838	5.01931	0.13597513597513597	5.89077	0.06682206682206682	4.80599	0.15578865578865578	4.59257	2574
BLFC01000309	2200001	2250001	2	35	adig_s0069.g143; adig_s0069.g144; adig_s0069.g145	0.12138728323699421	3.67147	0.0273224043715847	4.43341	0.3588342440801457	5.90758	0.02185792349726776	4.05625	0.599271402550091	4.52805	549
BLFC01000326	2050001	2150001	2	35	OIT3_BOVIN; TLL2_MOUSE	NA	-Inf	NA	-Inf	0.4864864864864865	5.158	0.5714285714285714	5.5584	0.9027027027027027	5.83256	185
BLFC01000706	250001	300001	2	24	no genes in this region	NA	-Inf	0.4026974951830443	7.13326	0.09826589595375723	4.19491	0.3179190751445087	5.75825	0.0019267822736030828	3.1159	519
BLFC01000326	1650001	1750001	1	1	adig_s0038.g88; adig_s0038.g89; adig_s0038.g90; adig_s0038.g91; adig_s0038.g92; adig_s0038.g93; adig_s0038.g87	0.8651685393258427	4.04613	0	2.70635	0	2.93928	0.002364066193853428	4.03456	0.002364066193853428	3.03475	423
BLFC01000158	700001	750001	1	1	BLM_XENLA	0.8045112781954887	4.28737	0	2.66914	0	1.44743	0	1.44803	0	0.252345	422
BLFC01000416	150001	200001	1	1	no genes in this region	0.7664233576642335	3.25726	0	0.504222	0	0.537096	0	0.701484	0	0.897607	365
BLFC01000324	1600001	1800001	1	1	B2CL1_HUMAN; AAGAB_HUMAN; adig_s0041.g86; DRB1_ORYSJ; ULK3_CHICK; HTK7_HYDVU	0.7309644670050761	3.49861	0	3.66383	0	3.01574	0	3.36581	0	2.56497	3294
BLFC01000718	1300001	1400001	1	1	adig_s0112.g35; LRMDA_MOUSE; F241B_MOUSE; ZN503_DANRE; adig_s0112.g41; LRMDA_HUMAN; WAPL_HUMAN	0.6823161189358372	5.14527	0.012652889076339097	4.57024	0.005061155630535639	3.42053	0.016026992830029525	4.33758	0.023196963306621677	4.72579	2371
BLFC01000474	1650001	1700001	1	1	FMN2_HUMAN; P4H3_ARATH; CEP70_MOUSE	0.6588235294117647	2.87991	0	0.934414	0	0.472278	0	1.23531	0	1.34089	578
BLFC01000082	550001	600001	1	1	adig_s0168.g24	0.6377952755905512	3.20354	0	-0.147125	0	-0.0929022	0	-0.0079547	0	0.271573	592
BLFC01000591	150001	200001	1	1	adig_s0275.g7; adig_s0275.g8; adig_s0275.g6	0.625	2.71469	0	0.945115	0	0.870087	0	0.363444	0	0.0854391	274
BLFC01000838	550001	600001	1	1	TRNK1_HUMAN; TRAF5_MOUSE	0.6176470588235294	2.3986	0	1.39504	0	1.55978	0	1.59541	0	1.76597	1634
BLFC01000655	200001	250001	1	1	adig_s0250.g15; K319L_MOUSE	0.6165413533834586	5.7484	0.023094688221709007	5.10309	0.016166281755196306	3.3251	0	3.08499	0.07159353348729793	3.85306	433
BLFC01000201	2450001	2500001	1	1	adig_s0044.g131	0.5625	2.70612	0	-0.6807	0	-0.316727	0	-1.36809	0	-1.36968	119
BLFC01000416	50001	100001	1	1	adig_s0147.g3; adig_s0147.g4	0.5467980295566502	2.79819	0	1.12137	0	1.08576	0	1.5334	0	1.23019	436
BLFC01000348	2400001	2450001	1	1	TAF4_HUMAN; SL9A8_HUMAN; adig_s0001.g108; adig_s0001.g109; RSPRY_MACFA	0.5287769784172662	3.79919	0	3.44154	0.0034453057708871662	3.65982	0	2.89016	0.012058570198105082	3.43236	1161
BLFC01000820	1050001	1100001	1	1	TRPC4_HUMAN; SETX_MOUSE; CPT1A_RAT	0.507537688442211	5.04088	0	1.45989	0	1.5216	0	2.08181	0	2.4258	1720
BLFC01000289	450001	500001	1	1	adig_s0153.g19; adig_s0153.g20; PTHB1_XENLA; BMPER_MOUSE	0.5026833631484794	4.3058	0	3.82713	0.003814367450731087	3.65536	0	3.36099	0.012714558169103624	3.56608	1574
BLFC01000610	900001	950001	1	1	adig_s0050.g54; RNH2B_XENLA; adig_s0050.g52; TLL1_CHICK	0.493006993006993	4.28837	0	2.77849	0	3.01181	0	2.80078	0.0013066202090592336	3.10014	2296
BLFC01000639	1450001	1550001	1	1	adig_s0017.g67; HSP7C_CAEBR; COP1_MOUSE; PI4KB_HUMAN; adig_s0017.g71	0.4895549500454133	4.71617	0.01267962806424345	4.98147	0.005353620738236123	4.11278	0.0084530853761623	4.60766	0.006762468300929839	3.99608	3549
BLFC01000074	150001	200001	1	1	ARF4_XENLA; adig_s0057.g11; KLKB1_BOVIN; ODPB_MOUSE; adig_s0057.g12; ABLM1_MOUSE; adig_s0057.g15	0.4637964774951076	4.05399	0.09945839487936976	4.86103	0.04086656819300837	3.98799	0.003938946331856229	4.17099	0.09453471196454949	4.53473	2031
BLFC01000610	1000001	1100001	1	1	adig_s0050.g56; SOX14_DANRE; adig_s0050.g57; VP37A_HUMAN; GALR2_RAT; DOCK9_MOUSE	0.4587892049598833	4.48005	0	3.83171	0.0015690376569037657	3.62753	0	2.50329	5.230125523012552e-4	3.01614	3824
BLFC01000745	300001	400001	1	1	PRUN1_BOVIN; adig_s0118.g25; CYBP_PONAB; adig_s0118.g30; ECE1_BOVIN; LHPL2_DANRE; MA2A2_HUMAN; AP3S1_MOUSE; PRUN2_XENTR; UBP47_HUMAN; DEPD7_RAT	0.4374453193350831	4.48271	0	3.26538	0.0011065006915629322	3.52472	0	3.03585	0.0019363762102351315	3.12988	3615
BLFC01000857	150001	200001	1	1	adig_s0070.g9; MED19_AEDAE; SEPT2_CHICK; PDIP2_HUMAN	0.436077057793345	4.25935	0	2.15198	0	2.5783	0	2.24897	0.0014792899408284023	3.13341	2029
BLFC01000690	2600001	2700001	1	1	adig_s0030.g199; CF157_XENTR; DHYS_MOUSE; COQ4_NEMVE; TBX5A_DANRE; LSM2_MOUSE; CSK2B_DANRE; PIN1_HUMAN; SYF1_DROME; adig_s0030.g212; MICA1_DANRE; PSB1B_CARAU; DPOE3_PONAB; FBP1_STRPU; TDIF2_HUMAN	0.42129992169146435	4.2332	0	3.61602	0.01556420233463035	4.45676	4.8638132295719845e-4	4.05254	0.00899805447470817	3.62522	4112
BLFC01000593	400001	450001	1	1	DYDC1_HUMAN; TYRO_CHICK; DMBT1_MOUSE	0.41702127659574467	4.07372	0	2.55999	0	2.88694	0	2.7821	0	2.98265	700
BLFC01000734	350001	400001	1	1	adig_s0081.g28; LITAF_CHICK; TDRD1_MOUSE; LACC1_HUMAN; E41L3_MOUSE; ALK_MOUSE; RS12_ORENI	0.39365079365079364	3.438	0	2.58471	0	2.50899	0	1.98695	0	2.49711	1971
BLFC01000834	3350001	3400001	1	1	CTNS_DICDI; DEOC_HUMAN; adig_s0028.g243; AMN1_PONAB	0.380718954248366	4.15396	0	4.01595	0.0342360756259581	3.77057	0	3.30725	0	2.63851	1957
BLFC01000051	600001	650001	1	1	adig_s0009.g26; S35F5_MOUSE; ENPP5_RAT	0.37815126050420167	4.8272	0.06243705941591138	5.79957	0.04481369587109768	4.31621	0.007049345417925478	4.14223	0.0030211480362537764	3.16634	1986
BLFC01000008	1150001	1200001	1	1	adig_s0073.g90	0.37623762376237624	3.1836	0	3.94229	0.009689922480620155	3.21111	0	2.52227	0	2.63565	516
BLFC01000770	850001	900001	1	1	MORN5_HUMAN; S35A1_HUMAN; VIAAT_XENLA; FEZF2_DANRE; S35A1_MOUSE; RAD50_PLAF7; CDK20_DANRE	0.3704630788485607	3.92311	0.009660226515656229	4.60165	0.004996668887408394	3.27846	0	3.22522	0.008660892738174551	3.4979	3003
BLFC01000770	3100001	3150001	1	1	NAPEP_HUMAN; TF3C4_MOUSE; adig_s0003.g202; adig_s0003.g203; adig_s0003.g204	0.36507936507936506	4.14539	0	1.00905	0	1.57681	0	1.47665	0	1.86143	953
BLFC01000450	750001	800001	1	1	adig_s0015.g55; CAC1A_HUMAN; CAC1A_APIME	0.3569023569023569	4.3360900000000004	0	3.85993	0.02340655383507382	4.74501	0	3.1857	0.010082823190493338	4.03996	2777
BLFC01000309	3050001	3100001	1	1	DMX1B_DANRE; DMX1B_DANRE; DMX1B_DANRE; PITX2_HUMAN	0.3528428093645485	4.22582	0.07153428712382832	4.88616	0.010360138135175136	3.54506	0.02220029600394672	4.51995	0.025160335471139616	3.58203	2027
BLFC01000235	3250001	3300001	1	1	MKRN1_XENLA; RAD54_CHICK; ALKB7_BOVIN; CFA57_HUMAN; RHBGB_XENLA	0.34469200524246396	4.25157	0	4.07463	0.11158569140416444	4.62703	5.339028296849973e-4	4.08224	0.10731446876668446	3.87521	1873
